t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,1.44,-8.12,9.55,11.14,5.98,0.00,0.00,0.00,1.00,1.00
0.00,49.00,49.00,5.57,-10.91,11.20,10.06,-3.37,0.00,0.50,-0.18,1.00,-1.00
49.00,125.00,76.00,2.58,-6.73,9.67,9.64,-14.86,0.00,1.24,-1.33,1.00,-1.00
125.00,203.00,78.00,2.35,-3.51,9.86,-0.90,-4.33,0.00,1.18,-1.69,0.00,-1.00
203.00,282.00,79.00,11.60,-6.73,10.06,2.85,-3.39,0.00,1.50,-2.00,1.00,-1.00
282.00,367.00,85.00,2.35,-6.04,9.90,1.89,5.60,0.00,1.67,-1.58,1.00,1.00
367.00,439.00,72.00,1.21,-3.51,9.71,2.46,7.49,0.00,1.84,-1.09,1.00,1.00
439.00,514.00,75.00,-2.46,-0.07,9.67,5.67,3.47,0.00,2.18,-0.82,1.00,1.00
514.00,591.00,77.00,-2.69,-0.99,9.94,10.13,3.68,0.00,2.82,-0.55,1.00,1.00
591.00,669.00,78.00,-4.52,-0.76,9.82,6.84,8.33,0.00,3.13,0.07,1.00,1.00
669.00,745.00,76.00,-5.21,1.76,9.90,5.81,11.39,0.00,3.26,0.96,1.00,1.00
745.00,821.00,76.00,-5.68,3.36,9.90,5.61,10.88,0.00,3.31,1.84,1.00,1.00
821.00,902.00,81.00,-1.54,2.22,9.94,3.39,13.91,0.00,3.30,2.93,1.00,1.00
902.00,973.00,71.00,1.67,-0.53,9.55,-0.90,16.93,0.00,3.11,3.91,1.00,1.00
973.00,1050.00,77.00,5.80,-1.91,9.71,-7.73,7.24,0.00,2.62,4.11,-1.00,1.00
1050.00,1128.00,78.00,14.65,7.97,9.59,-9.07,3.83,0.00,2.62,4.58,-1.00,1.00
1128.00,1207.00,79.00,9.27,-4.89,9.86,-6.48,-0.51,0.00,2.56,3.90,-1.00,1.00
1207.00,1287.00,80.00,9.73,-3.51,9.51,3.37,-2.28,0.00,3.34,3.14,1.00,0.00
1287.00,1365.00,78.00,7.18,-3.51,10.06,9.17,-2.29,0.00,4.34,2.38,1.00,0.00
1365.00,1449.00,84.00,8.34,-0.99,9.67,14.01,1.19,0.00,5.80,2.07,1.00,1.00
1449.00,1522.00,73.00,8.34,-0.53,9.78,12.26,3.34,0.00,6.90,1.95,1.00,1.00
1522.00,1600.00,78.00,10.66,-1.68,9.86,2.95,4.96,0.00,7.53,1.83,1.00,1.00
1600.00,1678.00,78.00,12.06,-0.99,10.14,-5.43,2.74,0.00,7.67,1.60,1.00,1.00
1678.00,1759.00,81.00,10.20,1.76,10.18,-4.94,0.45,0.00,7.68,1.47,1.00,1.00
1759.00,1837.00,78.00,9.03,-2.37,9.86,2.50,2.42,0.00,8.12,1.08,1.00,1.00
1837.00,1914.00,77.00,7.88,-3.05,9.51,12.47,11.31,0.00,9.08,1.24,1.00,1.00
1914.00,1998.00,84.00,5.57,-4.43,9.12,4.58,15.23,0.00,9.18,1.53,1.00,1.00
1998.00,2071.00,73.00,3.04,-2.82,9.23,0.14,7.62,0.00,8.61,1.32,1.00,1.00
2071.00,2148.00,77.00,1.67,-2.60,9.27,-6.36,-3.50,0.00,7.47,0.37,1.00,-1.00
2148.00,2229.00,81.00,1.21,-0.76,9.78,-7.45,-7.81,0.00,6.26,-0.62,-1.00,-1.00
2229.00,2311.00,82.00,3.50,1.30,10.02,-7.74,-3.85,0.00,5.38,-0.98,-1.00,-1.00
2311.00,2392.00,81.00,3.50,0.84,9.98,-3.16,-1.50,0.00,4.92,-1.16,1.00,-1.00
2392.00,2472.00,80.00,4.19,2.45,9.90,-1.00,-2.68,0.00,4.74,-1.20,1.00,-1.00
2472.00,2557.00,85.00,3.73,-1.91,9.90,0.04,2.24,0.00,4.60,-1.38,1.00,0.00
2557.00,2631.00,74.00,5.11,-3.05,9.55,-1.92,3.66,0.00,4.51,-1.57,1.00,1.00
