t0,t1,dt,Measured_Angle_X,Measured_Angle_Y,Acceleration_Z,Angular_Velocity_X,Angular_Velocity_Y,Altitude,Kalman_Angle_X,Kalman_Angle_Y,Open_X,Open_Y
0.00,0.00,0.00,-0.26,0.60,9.76,0.40,0.06,0.00,0.00,0.00,0.00,0.00
0.00,47.00,47.00,-0.49,-0.31,9.68,0.82,0.35,0.00,0.04,0.02,0.00,0.00
47.00,119.00,72.00,0.42,0.38,9.87,0.47,0.17,0.00,0.07,0.03,0.00,0.00
119.00,192.00,73.00,0.19,0.15,9.80,0.43,0.15,0.00,0.10,0.04,0.00,0.00
192.00,265.00,73.00,-0.72,-0.08,9.80,0.09,0.14,0.00,0.10,0.05,0.00,0.00
265.00,341.00,76.00,-0.04,0.15,9.80,0.01,0.13,0.00,0.10,0.06,0.00,0.00
341.00,421.00,80.00,0.42,-0.08,9.76,-0.23,0.03,0.00,0.09,0.06,0.00,0.00
421.00,492.00,71.00,-0.26,0.15,9.80,-0.18,0.10,0.00,0.07,0.07,0.00,0.00
492.00,567.00,75.00,-0.26,-0.08,9.72,-0.32,0.07,0.00,0.04,0.07,0.00,0.00
567.00,645.00,78.00,-0.04,-0.08,9.76,-0.48,0.07,0.00,-0.00,0.07,0.00,0.00
645.00,723.00,78.00,0.42,-0.08,9.84,-0.36,-0.01,0.00,-0.01,0.07,0.00,0.00
723.00,801.00,78.00,-0.26,0.38,9.84,-0.54,-0.06,0.00,-0.06,0.07,0.00,0.00
801.00,879.00,78.00,0.19,-0.08,9.76,-0.45,-0.03,0.00,-0.09,0.06,0.00,0.00
879.00,962.00,83.00,-0.26,-0.08,9.84,-0.38,-0.10,0.00,-0.13,0.05,0.00,0.00
962.00,1036.00,74.00,-0.04,-0.54,9.87,-0.10,-0.13,0.00,-0.13,0.01,0.00,0.00
1036.00,1116.00,80.00,-0.26,0.15,9.72,-0.16,-0.10,0.00,-0.15,0.01,0.00,0.00
1116.00,1196.00,80.00,-0.49,-0.08,9.80,0.03,-0.14,0.00,-0.17,-0.01,0.00,0.00
1196.00,1277.00,81.00,0.42,0.15,9.84,-0.02,-0.07,0.00,-0.13,-0.01,0.00,0.00
1277.00,1357.00,80.00,-0.26,0.15,9.84,0.15,-0.06,0.00,-0.13,-0.00,0.00,0.00
1357.00,1442.00,85.00,0.42,0.15,9.84,0.24,-0.08,0.00,-0.06,0.00,0.00,0.00
1442.00,1516.00,74.00,-0.26,-0.08,9.76,0.14,0.02,0.00,-0.07,-0.00,0.00,0.00
1516.00,1595.00,79.00,0.42,0.15,9.87,0.11,-0.02,0.00,-0.01,0.01,0.00,0.00
1595.00,1673.00,78.00,-0.04,0.15,9.76,0.05,0.13,0.00,-0.01,0.03,0.00,0.00
1673.00,1751.00,78.00,0.88,0.60,9.76,0.16,0.06,0.00,0.10,0.09,0.00,0.00
1751.00,1827.00,76.00,-0.04,0.15,9.87,0.13,0.21,0.00,0.10,0.12,0.00,0.00
1827.00,1905.00,78.00,-0.26,0.60,9.72,0.04,0.35,0.00,0.07,0.20,0.00,0.00
1905.00,1987.00,82.00,0.42,0.38,9.76,-0.08,0.30,0.00,0.11,0.24,0.00,0.00
1987.00,2058.00,71.00,-0.49,0.38,9.80,-0.09,0.21,0.00,0.04,0.28,0.00,0.00
2058.00,2136.00,78.00,1.57,0.15,9.76,0.03,0.91,0.00,0.22,0.33,0.00,1.00
2136.00,2212.00,76.00,0.19,0.15,9.80,-0.32,0.97,0.00,0.21,0.39,0.00,1.00
2212.00,2289.00,77.00,0.88,0.15,9.80,-0.39,1.24,0.00,0.27,0.45,0.00,1.00
2289.00,2366.00,77.00,1.34,-0.08,9.95,-1.10,1.46,0.00,0.33,0.49,0.00,1.00
2366.00,2444.00,78.00,-0.04,1.29,9.84,-1.27,1.35,0.00,0.22,0.68,-1.00,1.00
2444.00,2528.00,84.00,0.88,-0.31,9.76,-1.34,0.70,0.00,0.22,0.62,-1.00,1.00
2528.00,2602.00,74.00,-0.49,-0.31,9.91,-1.13,0.65,0.00,0.09,0.55,-1.00,1.00
2602.00,2682.00,80.00,1.11,0.38,9.68,0.09,1.02,0.00,0.24,0.59,0.00,1.00
2682.00,2758.00,76.00,-3.47,1.29,10.54,0.50,1.22,0.00,-0.14,0.75,0.00,1.00
2758.00,2838.00,80.00,-0.26,1.52,9.87,-0.23,0.57,0.00,-0.16,0.87,0.00,1.00
2838.00,2916.00,78.00,0.19,1.06,9.80,-0.59,-0.01,0.00,-0.16,0.89,0.00,0.00
2916.00,2995.00,79.00,-0.95,0.60,9.76,-0.50,-0.39,0.00,-0.28,0.83,0.00,0.00
2995.00,3080.00,85.00,-0.26,1.06,9.76,-0.23,-0.60,0.00,-0.29,0.81,0.00,0.00
3080.00,3155.00,75.00,-0.26,0.83,9.84,-0.14,-0.83,0.00,-0.30,0.76,0.00,0.00
3155.00,3236.00,81.00,-0.95,0.15,9.76,0.14,-0.86,0.00,-0.36,0.62,0.00,0.00
3236.00,3315.00,79.00,-0.72,0.38,9.84,0.45,-0.54,0.00,-0.37,0.55,0.00,0.00
3315.00,3394.00,79.00,-1.18,0.83,9.80,0.55,-0.14,0.00,-0.44,0.57,0.00,0.00
3394.00,3472.00,78.00,-0.49,0.38,9.72,0.73,-0.07,0.00,-0.40,0.54,0.00,0.00
3472.00,3556.00,84.00,-0.72,0.60,9.76,0.62,-0.07,0.00,-0.40,0.54,0.00,0.00
3556.00,3631.00,75.00,-0.49,0.60,9.87,0.79,-0.38,0.00,-0.37,0.52,0.00,0.00
3631.00,3710.00,79.00,-0.26,0.60,9.84,0.68,-0.41,0.00,-0.32,0.50,0.00,0.00
3710.00,3789.00,79.00,-0.72,0.83,9.80,0.72,-0.32,0.00,-0.33,0.52,0.00,0.00
3789.00,3868.00,79.00,0.19,-0.31,9.87,0.66,-0.42,0.00,-0.24,0.39,0.00,0.00
3868.00,3947.00,79.00,-0.72,0.60,9.80,0.54,-0.35,0.00,-0.27,0.38,0.00,0.00
3947.00,4025.00,78.00,0.65,0.38,9.87,0.59,-0.33,0.00,-0.13,0.36,0.00,0.00
4025.00,4108.00,83.00,-0.26,0.38,9.72,0.42,-0.34,0.00,-0.12,0.33,0.00,0.00
4108.00,4183.00,75.00,0.42,0.15,9.84,0.26,-0.34,0.00,-0.05,0.29,0.00,0.00
4183.00,4261.00,78.00,-0.72,0.38,9.87,0.12,-0.22,0.00,-0.13,0.28,0.00,0.00
4261.00,4340.00,79.00,0.65,0.60,9.91,0.08,-0.23,0.00,-0.04,0.30,0.00,0.00
4340.00,4418.00,78.00,0.42,0.15,9.72,-0.21,-0.20,0.00,-0.00,0.27,0.00,0.00
4418.00,4498.00,80.00,-0.72,0.38,9.91,-0.07,-0.11,0.00,-0.10,0.27,0.00,0.00
4498.00,4577.00,79.00,0.42,0.15,9.87,-0.22,-0.08,0.00,-0.06,0.25,0.00,0.00
4577.00,4661.00,84.00,-0.26,0.38,9.80,-0.21,-0.14,0.00,-0.10,0.25,0.00,0.00
4661.00,4736.00,75.00,0.19,0.15,9.87,-0.29,-0.03,0.00,-0.09,0.24,0.00,0.00
4736.00,4815.00,79.00,0.65,0.38,9.76,-0.21,-0.07,0.00,-0.02,0.25,0.00,0.00
4815.00,4895.00,80.00,-0.04,-0.08,9.84,-0.04,0.14,0.00,-0.02,0.22,0.00,0.00
4895.00,4975.00,80.00,-0.04,0.38,9.84,-0.18,0.08,0.00,-0.03,0.24,0.00,0.00
4975.00,5054.00,79.00,0.19,0.38,9.84,-0.05,0.07,0.00,-0.01,0.26,0.00,0.00
5054.00,5131.00,77.00,-0.04,0.60,9.80,-0.06,0.17,0.00,-0.01,0.31,0.00,0.00
5131.00,5215.00,84.00,0.19,0.15,9.80,0.06,0.07,0.00,0.02,0.30,0.00,0.00
